claimant_id,name,age,policy_id
CL69428,Joanna Blake,40,P68350
CL63892,Harold Jackson,80,P20255
CL11173,Gerald Lane,54,P24095
CL26292,David Farley,37,P47290
CL70239,Paul Hansen,24,P39179
CL14363,Gregory Rosales,28,P86923
CL29862,Matthew Moreno,72,P85238
CL57169,Ryan Robles,26,P78361
CL47893,Kelly Roach,29,P89516
CL82938,Sara Diaz,80,P47235
CL09886,Melinda Webster,72,P89362
CL34982,Michael Wood,24,P32086
CL18345,Jennifer Hinton,70,P83860
CL32871,Jenny Williams,72,P13773
CL45522,George Sanders,64,P41414
CL62648,Melissa Morton,28,P83053
CL80791,Katherine Joseph,43,P73196
CL97808,Adrian Mooney,19,P84001
CL65325,Sierra Lee,73,P21467
CL15807,Jillian Garcia,72,P93042
CL28032,Michael Hernandez,19,P27236
CL09154,Amber Hill,71,P68918
CL53740,Roger Snyder,37,P44889
CL98422,Kevin Cobb,30,P37593
CL06700,Peter Scott,43,P33557
CL11413,David Kirby,65,P69120
CL67604,David Berg,32,P75586
CL49282,Timothy Parker,19,P61199
CL12424,Christian Garcia,24,P34489
CL23771,Michael Hart,42,P13490
CL98671,Danielle Vance,23,P40608
CL05759,Whitney Greer,40,P48317
CL01752,Erika Olson,67,P90260
CL63257,Clayton Espinoza,69,P90178
CL05353,Larry Hurley,61,P64350
CL70394,Patrick Boone,62,P40160
CL70523,Dana Carroll,39,P39838
CL78406,James Baker,26,P75637
CL45631,Robert Robinson,56,P65588
CL07464,Angela Cooke,68,P23461
CL68149,Stephanie Frank,41,P44322
CL61050,Kyle Hodges,59,P10345
CL39835,Kathy Hooper,63,P93635
CL98803,Kenneth Johnson,35,P40173
CL97858,Jill Hall,67,P35389
CL44994,Jonathan Robinson,52,P37291
CL50103,Jared Parker,72,P23804
CL33069,Amber Brandt,33,P91396
CL58447,Aaron Snyder,63,P58874
CL61778,Victoria Simpson,27,P42333
CL63022,Robert Randall,36,P21190
CL94636,Derrick Davis,62,P33455
CL31709,Thomas Wilson,29,P63186
CL94517,Nicole Miller,53,P40620
CL36364,Aaron Simmons,55,P28826
CL09441,Joshua Williams,21,P47155
CL15669,Theresa Nguyen,34,P39334
CL48753,Melvin Cherry,35,P88819
CL22889,Richard Thompson DDS,42,P45422
CL88454,Sandra Stephens,38,P20990
CL86086,Norman Lee,60,P76287
CL23413,Samantha Ward,66,P85641
CL45467,Paula Hatfield,25,P28526
CL51549,Alyssa Lane,75,P57040
CL44243,Christopher Bridges,30,P95551
CL94577,Dustin Reid,45,P46477
CL38173,Joseph Romero,69,P38925
CL16889,Brittney Archer,74,P94703
CL48890,Hector Henson,39,P40147
CL88081,Glen Coleman,19,P11593
CL10772,Shane Sanchez,73,P25853
CL85239,Cassandra Reed,18,P71905
CL24385,Hannah Taylor,55,P78824
CL37764,Robert Watson,64,P91603
CL38962,Richard Mayer,19,P77475
CL12369,James King,79,P44893
CL42935,Dakota Gill,38,P29943
CL15251,Christopher Simmons,49,P38227
CL12935,Olivia Gomez,19,P32330
CL94461,James Chase,25,P29543
CL64791,Michael Martinez,72,P12135
CL31462,Bianca Gordon,29,P79865
CL24959,Paul Reynolds,48,P36271
CL98788,Darlene Green,45,P23818
CL68108,Alvin Soto,76,P90293
CL13718,Kevin Medina,75,P83434
CL27196,David Peters,44,P53837
CL92736,Karla Kelly,18,P38440
CL93816,Clinton Cardenas,37,P76811
CL26681,Christopher Marshall,18,P23618
CL82768,Haley Braun,42,P22529
CL19983,Cody Harris,78,P40562
CL86148,Christina Steele,34,P56320
CL36793,Jeff Hernandez,20,P41855
CL21855,Steven Peterson,71,P56095
CL83240,Edward Thompson,23,P87543
CL53076,Jill Hoover,49,P55704
CL05104,Kirk Johnson,70,P50448
CL03725,Jason Gonzalez,46,P54332
CL59548,Bobby Smith,76,P72365
CL09745,Anne Gamble,44,P62916
CL73723,Thomas Chavez,65,P68128
CL88419,Alexander Jones,47,P48122
CL72274,Kevin Clark,36,P89127
CL53853,Anne Peters,72,P32571
CL70182,Antonio Garza,38,P11478
CL32653,Daniel Stone,46,P45818
CL53746,Stephanie Drake,38,P27224
CL27413,Michael Joyce,56,P62412
CL43972,Michael Reed,80,P11224
CL86070,Michelle Summers,29,P75109
CL53771,Carol Smith,35,P96442
CL18556,Jacob Chapman,58,P47824
CL20477,Richard Morrison,25,P36635
CL92232,Todd Roy,54,P67526
CL43255,Michael Lee,68,P81362
CL84017,Lisa Thompson,73,P70590
CL32367,Lynn Drake,65,P92130
CL56153,Kristin Hernandez,44,P25686
CL92793,John Ramos,40,P69953
CL80648,Jill Webb,38,P30990
CL57685,Nicole Mays,34,P64971
CL42319,Joy Gates,23,P72884
CL02860,Daniel Higgins,54,P89866
CL30287,Ashley Golden,45,P97690
CL33105,Frederick Fitzgerald,70,P92479
CL78962,Stacie Beltran,51,P39055
CL99511,Tiffany Tran,42,P45828
CL11908,Karen Mcdonald,72,P60278
CL59056,Kyle Hicks,59,P86359
CL50599,Brett Smith,23,P93437
CL57606,Tiffany Ross,46,P51605
CL67438,Jack Holland,29,P23216
CL36341,April Salazar,27,P11697
CL17119,Kelsey Mckinney,41,P88217
CL41716,Edward Williams,61,P50766
CL79187,Diane Horn,37,P92762
CL81396,Melissa Perez,68,P20106
CL93736,Christopher Atkins,22,P95048
CL65958,Steven Johnston,59,P70481
CL79709,Teresa Wilson,41,P33427
CL25530,Alice Cervantes PhD,70,P22098
CL84222,Linda Gibbs,25,P45701
CL22870,Victoria Bell DVM,55,P52588
CL31324,Ryan Singleton,77,P20703
CL21178,William Walker,44,P31209
CL03351,Alexis Black,30,P70808
CL24380,Andrew Flores,63,P21327
CL53838,Paige Page,47,P27305
CL77432,Antonio Montgomery,19,P69992
CL41744,Vanessa Morris,64,P19065
CL77895,Kirsten Garcia,39,P93181
CL65792,Michael Smith,49,P94848
CL09679,William Chang,61,P41737
CL35440,Alyssa Simmons,31,P59358
CL02335,Sandra Logan,25,P85919
CL66896,Thomas Johnson,67,P23159
CL70148,Amy Sutton,78,P66812
CL64292,Amy Ingram,55,P85514
CL21004,Christopher Casey,38,P17064
CL29276,Raven Fleming,37,P42990
CL98533,Jennifer Butler,74,P66237
CL98385,Kelly Burgess,66,P72223
CL25099,Steven Skinner,70,P58158
CL40452,Erin Martin,79,P38201
CL28402,Robin Peterson,67,P86138
CL68711,Kimberly Wiley,40,P67288
CL10777,Lauren Davis,26,P31608
CL58333,Margaret Yates,59,P56643
CL12736,Lori Estrada,73,P80777
CL62789,Jeremy Schultz,79,P97542
CL39848,Jennifer Delgado,49,P53502
CL92330,Katherine Sanders,65,P87798
CL41093,Kenneth Thompson,75,P97631
CL71779,Crystal Castro,49,P86076
CL39801,Holly Jackson,38,P52753
CL96286,David Kirk,42,P85792
CL26440,Erika Mason,52,P23262
CL90102,Shirley Cooper,25,P48989
CL54297,Loretta Curtis,46,P29375
CL05355,Patrick Oliver,19,P81171
CL17173,Mary Middleton,80,P63501
CL10173,Cameron Hernandez,35,P77164
CL56950,Ronald Davis,60,P17296
CL32085,Matthew Warren,33,P22450
CL93588,Andrea Green,46,P14446
CL04095,Calvin Thompson,68,P71211
CL71837,Matthew Pham,70,P49687
CL67276,Janet Nicholson,40,P29526
CL16180,Mr. Ryan Mcfarland MD,65,P87551
CL83995,Bryan Pope,74,P77029
CL94136,Michelle Barrera,55,P79660
CL36981,Brandon Farmer,40,P41022
CL91840,Chelsea Fleming,75,P99272
CL20794,Nicholas Kennedy,69,P11110
CL10602,Jonathan Mitchell,40,P45775
CL62960,Benjamin Scott,28,P62986
CL70516,Brianna Good,62,P60266
CL13746,Zachary Steele,80,P47330
CL63666,Darrell Diaz,55,P25185
CL98212,Brittany Taylor,31,P16683
CL33212,Mr. Jacob Smith,38,P95853
CL27020,Felicia Gonzalez,56,P41020
CL08329,Kenneth Edwards,20,P22402
CL21342,Jonathan Johnson,35,P79081
CL95609,Natasha Stanley,24,P67624
CL33219,Ashley Mcdonald,29,P55499
CL13768,Jason Mata,38,P69372
CL97960,Kelli Young,80,P82437
CL42694,April Porter,67,P21253
CL83908,Brian Carroll,66,P13386
CL88716,Lacey Rodriguez,77,P80009
CL59319,Anne Munoz,44,P85714
CL46670,Bryan Davis,75,P61028
CL77751,David Barnett,70,P38394
CL73816,Tracey Peters,65,P20963
CL42363,Anthony Mcguire,41,P62525
CL17209,Donna Sanchez,42,P58547
CL34742,Gary Ali,28,P23362
CL78411,Angela Rich,30,P75675
CL04716,Michael Farrell,65,P13110
CL42189,Lisa Mitchell,32,P65112
CL95324,Savannah Jensen,53,P54120
CL24184,Jared Richardson,77,P47321
CL54168,Dylan Walker,52,P65037
CL90085,David Rice,39,P98800
CL44058,Zachary Buchanan,33,P10494
CL88785,Madison Williams,73,P22874
CL23500,Jackie Martinez,48,P24753
CL47881,Anita Luna,32,P58010
CL42485,Darlene Roy,47,P98603
CL94804,Andrea Schroeder,64,P21990
CL64032,Nicholas Hall,65,P19350
CL14841,Sarah Benson,53,P79645
CL75760,Jason Tate,21,P42531
CL93075,Jessica Cervantes,39,P36197
CL02670,Diana Olson,43,P62845
CL74898,Courtney Roman,78,P27436
CL27961,Marcus Campbell,31,P25415
CL49897,Jennifer Evans,58,P74186
CL98325,Scott Martin,38,P48289
CL53985,Julian Brown,78,P67468
CL88209,Marcia Lewis,30,P61302
CL46463,Stacey Williams,25,P80891
CL27807,Brittany Christian,59,P35536
CL83712,Dr. Tom Bailey,67,P62085
CL18083,Kim Stone,57,P46534
CL84583,Joseph Owens,56,P19940
CL33022,Stacy Levine,30,P93167
CL60051,Jonathan Young,70,P24495
CL66677,Joshua Hebert,22,P50114
CL09505,Elizabeth Thompson,74,P33205
CL09678,Richard Ross,41,P72846
CL65638,Francisco Reid,34,P88349
CL79531,Linda Lawson,51,P48425
CL67105,Matthew Miller,30,P32558
CL68418,Juan Larsen,75,P81850
CL44522,Paul Bowers,57,P67770
CL73793,John Williams,64,P25543
CL23116,John Hensley,51,P93448
CL74280,Patrick Holland,67,P26813
CL39613,Dr. April Munoz DVM,47,P24127
CL96862,David Hogan,20,P12031
CL80749,James Walker,63,P52209
CL43951,Angela Beasley,68,P19313
CL51481,Jason Murray,60,P90994
CL30613,Carolyn Jacobs,25,P24436
CL45088,Shawn Carr,35,P56616
CL97404,Jacob Johnson,69,P57180
CL89795,Bruce Carter,48,P14965
CL94068,Evelyn Hamilton,47,P29900
CL06523,Kristy Zhang,49,P32441
CL66374,Gregg Carlson,50,P18192
CL50540,Christopher Carter,62,P49075
CL75474,Devon Cordova,45,P34050
CL63295,Tyler Walker,66,P92790
CL12344,Guy Espinoza,72,P16979
CL83337,Amanda Jenkins,31,P19464
CL49552,James Thomas,61,P68862
CL80172,Christopher Williams,33,P92859
CL07704,Brandy Proctor,55,P43420
CL50239,Tyler Hodge,23,P24245
CL48582,Tracy Patterson,68,P57286
